Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:07:37.574,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
2,15:07:38.640,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
3,15:07:40.295,Mid,b180 pistol,1.208000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
4,15:07:41.792,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
5,15:07:43.115,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
6,15:07:45.057,Low,b180 pistol,0.656000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
7,15:07:45.711,Low,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
8,15:07:46.637,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
9,15:07:48.009,Low,b180 pistol,0.390000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
10,15:07:49.118,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
11,15:07:50.269,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
12,15:07:52.412,Mid,b180 pistol,1.432000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
13,15:07:53.297,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
14,15:07:54.444,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
15,15:07:55.162,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
16,15:07:57.549,High,b180 pistol,1.474000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
17,15:07:58.101,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
18,15:08:00.031,Low,b180 pistol,0.653000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
19,15:08:00.736,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
20,15:08:01.814,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
21,15:08:02.802,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
22,15:08:03.916,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
23,15:08:04.737,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
24,15:08:06.033,Mid,b180 pistol,0.302000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
25,15:08:07.270,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
26,15:08:08.510,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
27,15:08:09.370,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
28,15:08:10.654,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
29,15:08:11.698,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
30,15:08:12.884,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
31,15:08:14.362,Low,b180 pistol,0.734000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
32,15:08:14.792,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
33,15:08:15.538,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
34,15:08:19.502,Mid,b180 pistol,3.282000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
35,15:08:19.908,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
36,15:08:20.764,High,b180 pistol,0.332000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
37,15:08:23.442,Mid,b180 pistol,1.300000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
38,15:08:24.514,High,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
39,15:08:25.020,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
40,15:08:25.965,Mid,b180 pistol,0.467000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
41,15:08:26.600,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
42,15:08:27.367,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
43,15:08:30.124,Low,b180 pistol,1.807000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
44,15:08:32.450,Mid,b180 pistol,1.764000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
45,15:08:34.853,High,b180 pistol,0.822000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
46,15:08:35.835,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
b180 pistol,66,46,2300.0,8250.0,

Kills:,46
Deaths:,0
Fight Time:,16.627001
Time Remaining:,0.0
Avg TTK:,1.581026
Damage Done:,2300.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,46
Miss Count:,20
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,1
Distance Traveled:,0.0
MBS Points:,0.0
Score:,460.0
Scenario:,VT Bounceshot Intermediate
Hash:,8a238e56c5372398b70c77ed3a133d01
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:07:36.204
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,253.839905
Resolution Scale:,100.0
